,chr,start,end,SKHEP1_LIVER,AA_x,AT_x,AG_x,AC_x,TA_x,TT_x,TG_x,TC_x,GA_x,GT_x,GG_x,GC_x,CA_x,CT_x,CG_x,CC_x,AA_y,AT_y,AG_y,AC_y,TA_y,TT_y,TG_y,TC_y,GA_y,GT_y,GG_y,GC_y,CA_y,CT_y,CG_y,CC_y
31,10,102475276,102475579,0.632,9.0,2.0,40.0,9.0,1.0,2.0,10.0,8.0,31.0,8.0,40.0,44.0,19.0,9.0,34.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,18.0,10.0,2.0,0.0,2.0,8.0
32,10,102484200,102484476,0.516,2.0,3.0,12.0,6.0,2.0,3.0,9.0,20.0,8.0,6.0,44.0,48.0,11.0,22.0,42.0,37.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.0,2.0,2.0,10.0,13.0,6.0,7.0,12.0,8.0
33,10,102495116,102495613,0.886,4.0,6.0,37.0,12.0,6.0,7.0,30.0,21.0,31.0,23.0,92.0,78.0,18.0,28.0,66.0,37.0,0.0,0.0,11.0,1.0,0.0,2.0,11.0,8.0,8.0,2.0,36.0,52.0,7.0,3.0,25.0,10.0
34,10,102497154,102497675,-1.0,15.0,5.0,35.0,21.0,8.0,39.0,26.0,33.0,26.0,19.0,53.0,61.0,27.0,43.0,46.0,63.0,3.0,0.0,6.0,2.0,0.0,4.0,7.0,12.0,9.0,3.0,33.0,20.0,7.0,14.0,23.0,29.0
35,10,102498738,102499643,-1.0,16.0,11.0,43.0,53.0,11.0,27.0,43.0,79.0,36.0,36.0,83.0,97.0,60.0,86.0,84.0,139.0,4.0,4.0,11.0,13.0,1.0,9.0,16.0,29.0,9.0,6.0,56.0,56.0,7.0,21.0,17.0,43.0
36,10,102501700,102502232,-1.0,25.0,4.0,46.0,26.0,7.0,17.0,26.0,19.0,31.0,16.0,89.0,63.0,38.0,32.0,39.0,53.0,9.0,0.0,5.0,4.0,1.0,2.0,4.0,9.0,12.0,2.0,164.0,28.0,5.0,18.0,17.0,19.0
37,10,102590122,102590402,-1.0,12.0,7.0,20.0,6.0,4.0,14.0,23.0,15.0,14.0,17.0,24.0,38.0,15.0,18.0,27.0,25.0,4.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,10.0,4.0,45.0,17.0,3.0,2.0,10.0,7.0
38,10,102672367,102673159,0.003,27.0,17.0,61.0,31.0,8.0,26.0,35.0,50.0,44.0,31.0,74.0,91.0,57.0,45.0,71.0,123.0,6.0,4.0,16.0,9.0,2.0,4.0,5.0,6.0,24.0,6.0,28.0,64.0,11.0,9.0,24.0,37.0
39,10,102729299,102729710,0.035,11.0,6.0,33.0,15.0,5.0,6.0,20.0,25.0,28.0,20.0,63.0,47.0,21.0,24.0,43.0,43.0,0.0,1.0,5.0,9.0,1.0,1.0,2.0,11.0,32.0,2.0,73.0,32.0,9.0,8.0,10.0,18.0
40,10,102746533,102747501,0.003,26.0,20.0,75.0,53.0,23.0,28.0,59.0,48.0,82.0,49.0,116.0,98.0,43.0,61.0,96.0,90.0,0.0,3.0,12.0,7.0,5.0,9.0,12.0,5.0,31.0,28.0,66.0,71.0,10.0,19.0,25.0,44.0
41,10,102748870,102749088,0.004,12.0,8.0,9.0,11.0,4.0,17.0,16.0,16.0,13.0,11.0,18.0,15.0,11.0,17.0,15.0,24.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,4.0,0.0,15.0,6.0,1.0,4.0,5.0,20.0
42,10,102765205,102765448,0.947,4.0,2.0,31.0,11.0,1.0,4.0,17.0,3.0,18.0,4.0,27.0,47.0,25.0,15.0,22.0,11.0,4.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,154.0,70.0,1.0,0.0,4.0,1.0
43,10,102778604,102778922,-1.0,4.0,8.0,24.0,8.0,1.0,1.0,23.0,17.0,22.0,15.0,49.0,42.0,17.0,18.0,33.0,35.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,3.0,4.0,57.0,54.0,3.0,7.0,19.0,7.0
44,10,102789777,102789994,0.002,3.0,5.0,21.0,2.0,5.0,7.0,14.0,13.0,14.0,12.0,31.0,27.0,9.0,15.0,19.0,19.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,26.0,61.0,2.0,3.0,6.0,4.0
45,10,102790820,102791049,0.001,5.0,4.0,13.0,11.0,5.0,7.0,14.0,9.0,6.0,8.0,26.0,33.0,17.0,16.0,21.0,33.0,5.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,50.0,34.0,3.0,3.0,4.0,8.0
46,10,102807774,102808271,-1.0,14.0,10.0,25.0,26.0,11.0,17.0,23.0,39.0,20.0,12.0,41.0,61.0,30.0,51.0,46.0,70.0,5.0,3.0,2.0,1.0,4.0,1.0,0.0,8.0,6.0,0.0,44.0,28.0,5.0,11.0,29.0,44.0
47,10,102809887,102810282,-1.0,14.0,13.0,15.0,14.0,10.0,21.0,21.0,27.0,18.0,10.0,43.0,44.0,14.0,35.0,37.0,58.0,2.0,0.0,2.0,1.0,7.0,3.0,10.0,3.0,3.0,3.0,68.0,19.0,5.0,6.0,11.0,23.0
48,10,102882977,102883551,0.548,11.0,13.0,36.0,25.0,6.0,19.0,24.0,36.0,33.0,14.0,69.0,68.0,35.0,39.0,56.0,89.0,1.0,2.0,6.0,3.0,1.0,9.0,2.0,7.0,2.0,3.0,33.0,39.0,5.0,6.0,26.0,40.0
49,10,102891010,102891794,-1.0,14.0,14.0,51.0,32.0,12.0,21.0,40.0,37.0,36.0,21.0,100.0,111.0,49.0,54.0,78.0,113.0,1.0,0.0,9.0,5.0,4.0,5.0,7.0,3.0,17.0,29.0,62.0,93.0,11.0,14.0,26.0,50.0
50,10,102896342,102896665,0.7,11.0,4.0,26.0,18.0,3.0,9.0,22.0,22.0,20.0,18.0,28.0,39.0,25.0,25.0,30.0,22.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,7.0,3.0,6.0,75.0,4.0,14.0,6.0,12.0
51,10,102899177,102899489,-1.0,8.0,7.0,22.0,8.0,3.0,11.0,20.0,29.0,13.0,15.0,26.0,37.0,21.0,30.0,24.0,37.0,1.0,4.0,2.0,1.0,0.0,2.0,9.0,8.0,4.0,10.0,2.0,17.0,8.0,7.0,12.0,17.0
52,10,102905714,102906693,0.463,36.0,26.0,72.0,43.0,11.0,38.0,58.0,59.0,73.0,36.0,119.0,100.0,57.0,66.0,80.0,104.0,11.0,5.0,9.0,13.0,2.0,10.0,12.0,9.0,35.0,9.0,151.0,60.0,11.0,20.0,36.0,32.0
53,10,102973500,102973714,0.05,8.0,6.0,18.0,7.0,5.0,18.0,12.0,9.0,16.0,8.0,18.0,24.0,10.0,12.0,19.0,23.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,2.0,8.0,2.0,3.0,1.0,2.0
54,10,102996034,102996646,-1.0,35.0,19.0,55.0,23.0,14.0,12.0,30.0,29.0,44.0,26.0,81.0,62.0,39.0,28.0,48.0,66.0,6.0,2.0,7.0,3.0,5.0,1.0,2.0,3.0,25.0,20.0,58.0,18.0,14.0,6.0,19.0,29.0
55,10,103043990,103044480,0.673,14.0,8.0,46.0,16.0,10.0,7.0,25.0,18.0,41.0,20.0,87.0,56.0,19.0,25.0,47.0,50.0,2.0,1.0,12.0,1.0,3.0,0.0,8.0,3.0,17.0,1.0,49.0,234.0,4.0,3.0,16.0,6.0
56,10,103113523,103114414,0.0,39.0,19.0,70.0,32.0,17.0,33.0,60.0,35.0,69.0,38.0,150.0,96.0,35.0,55.0,74.0,68.0,4.0,1.0,17.0,6.0,2.0,9.0,12.0,5.0,30.0,22.0,75.0,50.0,33.0,14.0,28.0,23.0
57,10,1033790,1034615,0.001,37.0,12.0,46.0,47.0,17.0,21.0,36.0,53.0,41.0,34.0,84.0,85.0,47.0,60.0,79.0,125.0,8.0,0.0,18.0,5.0,6.0,3.0,3.0,13.0,22.0,16.0,120.0,25.0,6.0,34.0,33.0,30.0
58,10,103329326,103329535,0.041,5.0,5.0,19.0,5.0,2.0,3.0,8.0,16.0,12.0,8.0,28.0,24.0,15.0,13.0,18.0,27.0,0.0,0.0,1.0,2.0,1.0,0.0,8.0,8.0,2.0,0.0,12.0,5.0,0.0,1.0,11.0,7.0
59,10,103347679,103348215,0.008,22.0,9.0,51.0,20.0,10.0,12.0,33.0,26.0,39.0,29.0,80.0,53.0,31.0,31.0,38.0,51.0,6.0,5.0,9.0,6.0,1.0,1.0,3.0,5.0,20.0,5.0,95.0,27.0,13.0,19.0,11.0,11.0
60,10,103454126,103454478,0.008,3.0,6.0,30.0,7.0,3.0,3.0,15.0,21.0,18.0,11.0,31.0,55.0,22.0,22.0,40.0,64.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,2.0,4.0,1.0,6.0,59.0,21.0,9.0,9.0,12.0
61,10,103535636,103536505,-1.0,7.0,9.0,38.0,23.0,6.0,6.0,48.0,36.0,45.0,36.0,186.0,129.0,19.0,45.0,125.0,110.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,45.0,31.0,7.0,8.0,27.0,25.0
62,10,103542711,103543290,0.009,33.0,10.0,27.0,44.0,15.0,15.0,23.0,37.0,25.0,22.0,47.0,50.0,41.0,43.0,48.0,98.0,3.0,4.0,8.0,7.0,3.0,1.0,1.0,14.0,5.0,8.0,12.0,48.0,17.0,7.0,18.0,34.0
63,10,103577394,103578256,0.0,24.0,11.0,54.0,30.0,9.0,36.0,40.0,78.0,45.0,27.0,65.0,91.0,41.0,89.0,70.0,151.0,4.0,3.0,7.0,6.0,2.0,19.0,14.0,16.0,12.0,3.0,138.0,47.0,9.0,23.0,16.0,61.0
64,10,103588913,103589254,-1.0,12.0,14.0,24.0,13.0,2.0,8.0,16.0,27.0,23.0,11.0,31.0,30.0,26.0,20.0,25.0,58.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,6.0,9.0,3.0,3.0,7.0,22.0
65,10,103603166,103603642,0.096,9.0,6.0,34.0,15.0,5.0,3.0,27.0,31.0,33.0,19.0,73.0,52.0,17.0,38.0,44.0,69.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,3.0,22.0,41.0,4.0,13.0,13.0,31.0
66,10,103815502,103816105,0.032,21.0,9.0,38.0,25.0,10.0,12.0,14.0,45.0,30.0,21.0,59.0,72.0,32.0,39.0,72.0,103.0,1.0,1.0,4.0,5.0,1.0,3.0,3.0,20.0,12.0,3.0,19.0,60.0,5.0,16.0,21.0,36.0
67,10,103824894,103825778,0.007,7.0,4.0,52.0,23.0,5.0,8.0,64.0,45.0,42.0,42.0,140.0,138.0,32.0,68.0,107.0,106.0,1.0,1.0,9.0,8.0,4.0,0.0,10.0,9.0,4.0,11.0,47.0,83.0,20.0,46.0,47.0,39.0
68,10,103879633,103880628,0.003,23.0,14.0,67.0,29.0,10.0,17.0,64.0,46.0,52.0,55.0,131.0,143.0,48.0,51.0,120.0,124.0,10.0,10.0,10.0,4.0,2.0,2.0,4.0,1.0,6.0,24.0,184.0,45.0,11.0,11.0,58.0,26.0
69,10,103892659,103893590,0.0,22.0,16.0,70.0,26.0,11.0,29.0,58.0,50.0,58.0,58.0,167.0,101.0,43.0,45.0,90.0,86.0,0.0,5.0,3.0,3.0,4.0,3.0,11.0,8.0,16.0,9.0,139.0,60.0,9.0,8.0,29.0,24.0
70,10,103911696,103912546,0.0,32.0,23.0,56.0,39.0,22.0,42.0,63.0,50.0,57.0,54.0,77.0,77.0,39.0,58.0,70.0,90.0,8.0,8.0,11.0,7.0,3.0,11.0,14.0,16.0,22.0,20.0,63.0,43.0,13.0,31.0,31.0,48.0
71,10,103985852,103986246,0.0,12.0,14.0,27.0,12.0,10.0,17.0,24.0,20.0,24.0,19.0,54.0,47.0,19.0,21.0,40.0,33.0,4.0,10.0,7.0,1.0,2.0,8.0,4.0,6.0,3.0,0.0,35.0,31.0,4.0,10.0,8.0,21.0
72,10,104159096,104159536,-1.0,7.0,4.0,33.0,27.0,8.0,1.0,20.0,9.0,32.0,11.0,70.0,66.0,24.0,22.0,57.0,48.0,1.0,0.0,6.0,6.0,1.0,0.0,8.0,5.0,11.0,1.0,44.0,83.0,12.0,3.0,22.0,9.0
73,10,104168558,104169153,-1.0,8.0,7.0,29.0,21.0,4.0,10.0,30.0,22.0,28.0,17.0,79.0,105.0,25.0,32.0,92.0,85.0,0.0,1.0,4.0,5.0,0.0,1.0,2.0,0.0,4.0,0.0,27.0,13.0,1.0,2.0,22.0,9.0
74,10,104170168,104170872,0.64,13.0,14.0,49.0,23.0,4.0,27.0,45.0,47.0,36.0,39.0,79.0,73.0,46.0,43.0,55.0,110.0,1.0,0.0,11.0,2.0,0.0,2.0,9.0,11.0,12.0,3.0,64.0,35.0,13.0,18.0,11.0,34.0
75,10,104191984,104192527,0.0,20.0,16.0,39.0,27.0,13.0,15.0,30.0,26.0,36.0,22.0,77.0,55.0,33.0,31.0,45.0,57.0,4.0,0.0,2.0,5.0,2.0,0.0,4.0,8.0,12.0,5.0,65.0,29.0,2.0,7.0,6.0,12.0
76,10,104210095,104210985,0.009,9.0,8.0,52.0,33.0,16.0,17.0,47.0,40.0,26.0,39.0,132.0,151.0,51.0,56.0,118.0,94.0,1.0,0.0,9.0,4.0,5.0,0.0,5.0,4.0,2.0,9.0,87.0,46.0,4.0,9.0,30.0,32.0
77,10,104220983,104221287,0.0,10.0,7.0,21.0,10.0,5.0,10.0,17.0,9.0,16.0,6.0,50.0,50.0,17.0,18.0,35.0,22.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,4.0,0.0,19.0,10.0,3.0,4.0,11.0,17.0
78,10,104262224,104262524,0.018,12.0,9.0,26.0,16.0,6.0,7.0,13.0,18.0,26.0,10.0,33.0,31.0,19.0,18.0,29.0,26.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,5.0,2.0,20.0,8.0,2.0,9.0,5.0,12.0
79,10,104416555,104417165,0.993,15.0,10.0,40.0,33.0,11.0,17.0,32.0,37.0,17.0,29.0,60.0,70.0,55.0,41.0,45.0,97.0,2.0,0.0,4.0,5.0,3.0,7.0,13.0,11.0,6.0,13.0,21.0,62.0,27.0,7.0,14.0,20.0
80,10,104952242,104953232,0.002,43.0,11.0,60.0,41.0,7.0,27.0,49.0,50.0,60.0,34.0,137.0,131.0,45.0,61.0,117.0,116.0,6.0,1.0,9.0,9.0,0.0,3.0,7.0,3.0,7.0,6.0,109.0,57.0,16.0,13.0,25.0,35.0
81,10,105110265,105111008,0.0,14.0,5.0,54.0,25.0,8.0,12.0,22.0,60.0,36.0,23.0,108.0,99.0,40.0,62.0,83.0,91.0,3.0,1.0,11.0,10.0,2.0,2.0,5.0,9.0,7.0,11.0,68.0,51.0,28.0,26.0,26.0,37.0
82,10,105127580,105127824,0.0,13.0,7.0,14.0,8.0,7.0,15.0,17.0,19.0,14.0,11.0,17.0,26.0,8.0,25.0,21.0,21.0,1.0,3.0,3.0,2.0,6.0,2.0,6.0,7.0,7.0,2.0,7.0,7.0,1.0,18.0,3.0,15.0
83,10,105155820,105156484,0.002,32.0,19.0,32.0,32.0,17.0,34.0,36.0,54.0,30.0,34.0,53.0,59.0,36.0,54.0,56.0,85.0,4.0,3.0,6.0,7.0,1.0,4.0,13.0,10.0,11.0,13.0,23.0,51.0,10.0,24.0,26.0,26.0
84,10,105211950,105212306,0.025,15.0,3.0,32.0,11.0,2.0,8.0,21.0,19.0,28.0,13.0,45.0,42.0,16.0,26.0,31.0,43.0,4.0,0.0,8.0,2.0,1.0,2.0,2.0,1.0,10.0,6.0,47.0,31.0,3.0,9.0,6.0,6.0
85,10,105217966,105218287,0.913,7.0,7.0,30.0,18.0,4.0,6.0,13.0,13.0,16.0,12.0,44.0,46.0,35.0,11.0,32.0,26.0,2.0,0.0,1.0,3.0,2.0,1.0,4.0,3.0,4.0,2.0,17.0,108.0,6.0,9.0,23.0,8.0
86,10,105232921,105233456,0.98,12.0,10.0,47.0,20.0,8.0,13.0,37.0,32.0,22.0,27.0,52.0,75.0,47.0,40.0,41.0,51.0,1.0,2.0,8.0,6.0,0.0,3.0,12.0,6.0,4.0,2.0,51.0,30.0,10.0,8.0,19.0,13.0
87,10,105315007,105315244,-1.0,1.0,4.0,19.0,10.0,1.0,0.0,10.0,7.0,20.0,5.0,47.0,29.0,12.0,9.0,26.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,13.0,12.0,3.0,1.0,8.0,12.0
88,10,105344173,105345039,0.946,9.0,18.0,34.0,45.0,6.0,16.0,56.0,46.0,44.0,38.0,78.0,145.0,47.0,52.0,138.0,93.0,0.0,1.0,3.0,4.0,4.0,5.0,11.0,6.0,6.0,14.0,38.0,31.0,8.0,12.0,47.0,26.0
89,10,105361784,105362188,0.988,6.0,6.0,25.0,18.0,3.0,19.0,35.0,22.0,24.0,25.0,63.0,42.0,22.0,29.0,32.0,32.0,2.0,0.0,8.0,0.0,0.0,3.0,8.0,5.0,8.0,7.0,47.0,35.0,4.0,10.0,31.0,18.0
90,10,105420685,105421076,0.901,5.0,10.0,26.0,19.0,5.0,8.0,17.0,26.0,14.0,12.0,49.0,50.0,36.0,26.0,34.0,53.0,2.0,2.0,9.0,12.0,2.0,1.0,4.0,7.0,7.0,2.0,22.0,59.0,7.0,2.0,15.0,24.0
91,10,105452338,105453230,0.857,37.0,13.0,63.0,43.0,17.0,15.0,38.0,36.0,51.0,22.0,100.0,115.0,51.0,56.0,88.0,146.0,6.0,1.0,9.0,13.0,4.0,2.0,4.0,6.0,12.0,4.0,33.0,73.0,6.0,8.0,18.0,29.0
92,10,105614511,105615456,0.067,29.0,12.0,56.0,35.0,5.0,20.0,42.0,62.0,49.0,32.0,151.0,114.0,49.0,65.0,98.0,125.0,1.0,0.0,10.0,5.0,1.0,5.0,3.0,4.0,11.0,0.0,33.0,38.0,9.0,13.0,14.0,27.0
93,10,105726687,105727255,0.0,8.0,3.0,41.0,23.0,4.0,4.0,20.0,25.0,42.0,19.0,87.0,88.0,21.0,27.0,89.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,25.0,9.0,2.0,4.0,8.0,2.0
